Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 51.97      1.69     1.69 1347612588     0.00     0.00  mtGetReadyTime
 34.44      2.82     1.12  1094962     1.03     2.58  mlSortIn
 12.91      3.24     0.42                             mtSetReadyTime
  0.31      3.25     0.01  2143539     0.00     0.00  mlNewNode
  0.31      3.26     0.01  2143538     0.00     0.00  mtNewThread
  0.31      3.27     0.01  1084484     0.01     0.01  mlEnqueue
  0.00      3.27     0.00  3181630     0.00     0.00  mtDelThread
  0.00      3.27     0.00  3181629     0.00     0.00  mlDequeue
  0.00      3.27     0.00        8     0.00     0.00  mlGetNumNodes
  0.00      3.27     0.00        4     0.00     0.00  beginTest
  0.00      3.27     0.00        4     0.00     0.00  endTest
  0.00      3.27     0.00        1     0.00     0.00  mlDelList
  0.00      3.27     0.00        1     0.00     0.00  mlNewList
  0.00      3.27     0.00        1     0.00     0.00  shuffleIntArray
